source,target,weight
"('EXP-INDUSTRY', 'PM-TOOL')",PM-TOOL,18
"('EXP-INDUSTRY', 'QUAL-PREF')",QUAL-PREF,27
"('EXP-INDUSTRY', 'SS-LEADERSHIP')",SS-LEADERSHIP,37
"('EXP-INDUSTRY', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,39
"('EXP-INDUSTRY', 'TECH-CONCEPT')",TECH-CONCEPT,37
"('EXP-INDUSTRY', 'TECH-OPS')",TECH-OPS,32
"('EXP-INDUSTRY', 'analytical mindset')",analytical mindset,1
"('EXP-INDUSTRY', 'passion for digital transformation')",passion for digital transformation,1
"('EXP-INDUSTRY', 'process improvement')",process improvement,2
"('EXP-PM-YRS', 'EXP_ROLE')",EXP_ROLE,36
"('EXP-PM-YRS', 'PM-BUDGET')",PM-BUDGET,12
"('EXP-PM-YRS', 'PM-PLAN')",PM-PLAN,36
"('EXP-PM-YRS', 'PM-RISK')",PM-RISK,28
"('EXP-PM-YRS', 'PM-TOOL')",PM-TOOL,18
"('EXP-PM-YRS', 'QUAL-PREF')",QUAL-PREF,25
"('EXP-PM-YRS', 'SS-LEADERSHIP')",SS-LEADERSHIP,35
"('EXP-PM-YRS', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,36
"('EXP-PM-YRS', 'TECH-CONCEPT')",TECH-CONCEPT,35
"('EXP-PM-YRS', 'TECH-OPS')",TECH-OPS,31
"('EXP-PM-YRS', 'analytical mindset')",analytical mindset,2
"('EXP-PM-YRS', 'passion for digital transformation')",passion for digital transformation,1
"('EXP-PM-YRS', 'process improvement')",process improvement,2
"('EXP_ROLE', 'PM-BUDGET')",PM-BUDGET,13
"('EXP_ROLE', 'PM-PLAN')",PM-PLAN,41
"('EXP_ROLE', 'PM-RISK')",PM-RISK,31
"('EXP_ROLE', 'PM-TOOL')",PM-TOOL,19
"('EXP_ROLE', 'QUAL-PREF')",QUAL-PREF,28
"('EXP_ROLE', 'SS-LEADERSHIP')",SS-LEADERSHIP,40
"('EXP_ROLE', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,42
"('EXP_ROLE', 'TECH-CONCEPT')",TECH-CONCEPT,40
"('EXP_ROLE', 'TECH-OPS')",TECH-OPS,34
"('EXP_ROLE', 'analytical mindset')",analytical mindset,2
"('EXP_ROLE', 'passion for digital transformation')",passion for digital transformation,1
"('EXP_ROLE', 'process improvement')",process improvement,2
"('PM-BUDGET', 'PM-PLAN')",PM-PLAN,13
"('PM-BUDGET', 'PM-RISK')",PM-RISK,12
"('PM-BUDGET', 'PM-TOOL')",PM-TOOL,9
"('PM-BUDGET', 'QUAL-PREF')",QUAL-PREF,9
"('PM-BUDGET', 'SS-LEADERSHIP')",SS-LEADERSHIP,13
"('PM-BUDGET', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,13
"('PM-BUDGET', 'TECH-CONCEPT')",TECH-CONCEPT,13
"('PM-BUDGET', 'TECH-OPS')",TECH-OPS,10
"('PM-BUDGET', 'analytical mindset')",analytical mindset,2
"('PM-BUDGET', 'passion for digital transformation')",passion for digital transformation,1
"('PM-BUDGET', 'process improvement')",process improvement,1
"('PM-PLAN', 'PM-RISK')",PM-RISK,31
"('PM-PLAN', 'PM-TOOL')",PM-TOOL,19
"('PM-PLAN', 'QUAL-PREF')",QUAL-PREF,28
"('PM-PLAN', 'SS-LEADERSHIP')",SS-LEADERSHIP,39
"('PM-PLAN', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,41
"('PM-PLAN', 'TECH-CONCEPT')",TECH-CONCEPT,41
"('PM-PLAN', 'TECH-OPS')",TECH-OPS,34
"('PM-PLAN', 'analytical mindset')",analytical mindset,2
"('PM-PLAN', 'passion for digital transformation')",passion for digital transformation,1
"('PM-PLAN', 'process improvement')",process improvement,2
"('PM-RISK', 'PM-TOOL')",PM-TOOL,17
"('PM-RISK', 'QUAL-PREF')",QUAL-PREF,20
"('PM-RISK', 'SS-LEADERSHIP')",SS-LEADERSHIP,29
"('PM-RISK', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,31
"('PM-RISK', 'TECH-CONCEPT')",TECH-CONCEPT,31
"('PM-RISK', 'TECH-OPS')",TECH-OPS,26
"('PM-RISK', 'analytical mindset')",analytical mindset,2
"('PM-RISK', 'passion for digital transformation')",passion for digital transformation,1
"('PM-RISK', 'process improvement')",process improvement,2
"('PM-TOOL', 'QUAL-PREF')",QUAL-PREF,14
"('PM-TOOL', 'SS-LEADERSHIP')",SS-LEADERSHIP,19
"('PM-TOOL', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,19
"('PM-TOOL', 'TECH-CONCEPT')",TECH-CONCEPT,18
"('PM-TOOL', 'TECH-OPS')",TECH-OPS,15
"('PM-TOOL', 'analytical mindset')",analytical mindset,2
"('PM-TOOL', 'passion for digital transformation')",passion for digital transformation,1
"('PM-TOOL', 'process improvement')",process improvement,1
"('QUAL-PREF', 'SS-LEADERSHIP')",SS-LEADERSHIP,26
"('QUAL-PREF', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,28
"('QUAL-PREF', 'TECH-CONCEPT')",TECH-CONCEPT,28
"('QUAL-PREF', 'TECH-OPS')",TECH-OPS,23
"('QUAL-PREF', 'analytical mindset')",analytical mindset,2
"('QUAL-PREF', 'passion for digital transformation')",passion for digital transformation,1
"('QUAL-PREF', 'process improvement')",process improvement,2
"('SS-LEADERSHIP', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,40
"('SS-LEADERSHIP', 'TECH-CONCEPT')",TECH-CONCEPT,38
"('SS-LEADERSHIP', 'TECH-OPS')",TECH-OPS,32
"('SS-LEADERSHIP', 'analytical mindset')",analytical mindset,2
"('SS-LEADERSHIP', 'passion for digital transformation')",passion for digital transformation,1
"('SS-LEADERSHIP', 'process improvement')",process improvement,2
"('SS-STAKEHOLDER', 'TECH-CONCEPT')",TECH-CONCEPT,40
"('SS-STAKEHOLDER', 'TECH-OPS')",TECH-OPS,34
"('SS-STAKEHOLDER', 'analytical mindset')",analytical mindset,2
"('SS-STAKEHOLDER', 'passion for digital transformation')",passion for digital transformation,1
"('SS-STAKEHOLDER', 'process improvement')",process improvement,2
"('TECH-CONCEPT', 'TECH-OPS')",TECH-OPS,33
"('TECH-CONCEPT', 'analytical mindset')",analytical mindset,2
"('TECH-CONCEPT', 'passion for digital transformation')",passion for digital transformation,1
"('TECH-CONCEPT', 'process improvement')",process improvement,2
"('TECH-OPS', 'analytical mindset')",analytical mindset,2
"('TECH-OPS', 'passion for digital transformation')",passion for digital transformation,1
"('TECH-OPS', 'process improvement')",process improvement,2
"('analytical mindset', 'passion for digital transformation')",passion for digital transformation,1
"('analytical mindset', 'process improvement')",process improvement,1
"('passion for digital transformation', 'process improvement')",process improvement,1
"('CERT-TECH', 'CONTEXT-COMPLEX')",CONTEXT-COMPLEX,6
"('CERT-TECH', 'CONTEXT-ETHIC')",CONTEXT-ETHIC,4
"('CERT-TECH', 'CORE-ADAPT')",CORE-ADAPT,6
"('CERT-TECH', 'CORE-BUSINESS')",CORE-BUSINESS,6
"('CERT-TECH', 'EDU-ADV')",EDU-ADV,3
"('CERT-TECH', 'EXP-INDUSTRY')",EXP-INDUSTRY,5
"('CERT-TECH', 'EXP_ROLE')",EXP_ROLE,6
"('CERT-TECH', 'PM-PLAN')",PM-PLAN,6
"('CERT-TECH', 'PM-RISK')",PM-RISK,4
"('CERT-TECH', 'QUAL-PREF')",QUAL-PREF,5
"('CERT-TECH', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,6
"('CERT-TECH', 'TECH-CONCEPT')",TECH-CONCEPT,6
"('CERT-TECH', 'TECH-HANDSON')",TECH-HANDSON,5
"('CERT-TECH', 'TECH-OPS')",TECH-OPS,6
"('CONTEXT-COMPLEX', 'CONTEXT-ETHIC')",CONTEXT-ETHIC,17
"('CONTEXT-COMPLEX', 'EDU-ADV')",EDU-ADV,14
"('CONTEXT-COMPLEX', 'TECH-HANDSON')",TECH-HANDSON,29
"('CONTEXT-ETHIC', 'CORE-ADAPT')",CORE-ADAPT,15
"('CONTEXT-ETHIC', 'CORE-BUSINESS')",CORE-BUSINESS,16
"('CONTEXT-ETHIC', 'EDU-ADV')",EDU-ADV,8
"('CONTEXT-ETHIC', 'EXP-INDUSTRY')",EXP-INDUSTRY,16
"('CONTEXT-ETHIC', 'EXP_ROLE')",EXP_ROLE,17
"('CONTEXT-ETHIC', 'PM-PLAN')",PM-PLAN,17
"('CONTEXT-ETHIC', 'PM-RISK')",PM-RISK,11
"('CONTEXT-ETHIC', 'QUAL-PREF')",QUAL-PREF,13
"('CONTEXT-ETHIC', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,17
"('CONTEXT-ETHIC', 'TECH-CONCEPT')",TECH-CONCEPT,17
"('CONTEXT-ETHIC', 'TECH-HANDSON')",TECH-HANDSON,14
"('CONTEXT-ETHIC', 'TECH-OPS')",TECH-OPS,14
"('CORE-ADAPT', 'EDU-ADV')",EDU-ADV,13
"('CORE-ADAPT', 'TECH-HANDSON')",TECH-HANDSON,26
"('CORE-BUSINESS', 'EDU-ADV')",EDU-ADV,14
"('CORE-BUSINESS', 'TECH-HANDSON')",TECH-HANDSON,29
"('EDU-ADV', 'EXP-INDUSTRY')",EXP-INDUSTRY,14
"('EDU-ADV', 'EXP_ROLE')",EXP_ROLE,14
"('EDU-ADV', 'PM-PLAN')",PM-PLAN,14
"('EDU-ADV', 'PM-RISK')",PM-RISK,11
"('EDU-ADV', 'QUAL-PREF')",QUAL-PREF,13
"('EDU-ADV', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,14
"('EDU-ADV', 'TECH-CONCEPT')",TECH-CONCEPT,14
"('EDU-ADV', 'TECH-HANDSON')",TECH-HANDSON,11
"('EDU-ADV', 'TECH-OPS')",TECH-OPS,9
"('EXP-INDUSTRY', 'TECH-HANDSON')",TECH-HANDSON,28
"('EXP_ROLE', 'TECH-HANDSON')",TECH-HANDSON,30
"('PM-PLAN', 'TECH-HANDSON')",TECH-HANDSON,30
"('PM-RISK', 'TECH-HANDSON')",TECH-HANDSON,21
"('QUAL-PREF', 'TECH-HANDSON')",TECH-HANDSON,23
"('SS-STAKEHOLDER', 'TECH-HANDSON')",TECH-HANDSON,30
"('TECH-CONCEPT', 'TECH-HANDSON')",TECH-HANDSON,29
"('TECH-HANDSON', 'TECH-OPS')",TECH-OPS,26
"('4+ years professional experience', '8+ years experience (preferred)')",8+ years experience (preferred),1
"('4+ years professional experience', 'CONTEXT-COMPLEX')",CONTEXT-COMPLEX,1
"('4+ years professional experience', 'CONTEXT-ETHIC')",CONTEXT-ETHIC,1
"('4+ years professional experience', 'CORE-ADAPT')",CORE-ADAPT,1
"('4+ years professional experience', 'CORE-BUSINESS')",CORE-BUSINESS,1
"('4+ years professional experience', 'EXP-AI-YRS')",EXP-AI-YRS,1
"('4+ years professional experience', 'EXP-INDUSTRY')",EXP-INDUSTRY,1
"('4+ years professional experience', 'EXP-PM-YRS')",EXP-PM-YRS,1
"('4+ years professional experience', 'EXP_ROLE')",EXP_ROLE,1
"('4+ years professional experience', 'PM-PLAN')",PM-PLAN,1
"('4+ years professional experience', 'QUAL-PREF')",QUAL-PREF,1
"('4+ years professional experience', 'SS-LEADERSHIP')",SS-LEADERSHIP,1
"('4+ years professional experience', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,1
"('4+ years professional experience', 'TECH-CONCEPT')",TECH-CONCEPT,1
"('4+ years professional experience', 'TECH-HANDSON')",TECH-HANDSON,1
"('4+ years professional experience', 'TECH-OPS')",TECH-OPS,1
"('4+ years professional experience', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('4+ years professional experience', 'embody microsoft culture and values')",embody microsoft culture and values,1
"('4+ years professional experience', 'equivalent experience')",equivalent experience,1
"('4+ years professional experience', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('8+ years experience (preferred)', 'CONTEXT-COMPLEX')",CONTEXT-COMPLEX,1
"('8+ years experience (preferred)', 'CONTEXT-ETHIC')",CONTEXT-ETHIC,1
"('8+ years experience (preferred)', 'CORE-ADAPT')",CORE-ADAPT,1
"('8+ years experience (preferred)', 'CORE-BUSINESS')",CORE-BUSINESS,1
"('8+ years experience (preferred)', 'EXP-AI-YRS')",EXP-AI-YRS,1
"('8+ years experience (preferred)', 'EXP-INDUSTRY')",EXP-INDUSTRY,1
"('8+ years experience (preferred)', 'EXP-PM-YRS')",EXP-PM-YRS,1
"('8+ years experience (preferred)', 'EXP_ROLE')",EXP_ROLE,1
"('8+ years experience (preferred)', 'PM-PLAN')",PM-PLAN,1
"('8+ years experience (preferred)', 'QUAL-PREF')",QUAL-PREF,1
"('8+ years experience (preferred)', 'SS-LEADERSHIP')",SS-LEADERSHIP,1
"('8+ years experience (preferred)', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,1
"('8+ years experience (preferred)', 'TECH-CONCEPT')",TECH-CONCEPT,1
"('8+ years experience (preferred)', 'TECH-HANDSON')",TECH-HANDSON,1
"('8+ years experience (preferred)', 'TECH-OPS')",TECH-OPS,1
"('8+ years experience (preferred)', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('8+ years experience (preferred)', 'embody microsoft culture and values')",embody microsoft culture and values,1
"('8+ years experience (preferred)', 'equivalent experience')",equivalent experience,1
"('8+ years experience (preferred)', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('CONTEXT-COMPLEX', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('CONTEXT-COMPLEX', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('CONTEXT-COMPLEX', 'equivalent experience')",equivalent experience,1
"('CONTEXT-COMPLEX', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('CONTEXT-ETHIC', 'EXP-AI-YRS')",EXP-AI-YRS,9
"('CONTEXT-ETHIC', 'EXP-PM-YRS')",EXP-PM-YRS,15
"('CONTEXT-ETHIC', 'SS-LEADERSHIP')",SS-LEADERSHIP,16
"('CONTEXT-ETHIC', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('CONTEXT-ETHIC', 'embody microsoft culture and values')",embody microsoft culture and values,1
"('CONTEXT-ETHIC', 'equivalent experience')",equivalent experience,1
"('CONTEXT-ETHIC', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('CORE-ADAPT', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('CORE-ADAPT', 'embody microsoft culture and values')",embody microsoft culture and values,1
"('CORE-ADAPT', 'equivalent experience')",equivalent experience,1
"('CORE-ADAPT', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('CORE-BUSINESS', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('CORE-BUSINESS', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('CORE-BUSINESS', 'equivalent experience')",equivalent experience,1
"('CORE-BUSINESS', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('EXP-AI-YRS', 'TECH-HANDSON')",TECH-HANDSON,15
"('EXP-AI-YRS', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('EXP-AI-YRS', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('EXP-AI-YRS', 'equivalent experience')",equivalent experience,1
"('EXP-AI-YRS', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('EXP-INDUSTRY', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('EXP-INDUSTRY', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('EXP-INDUSTRY', 'equivalent experience')",equivalent experience,1
"('EXP-INDUSTRY', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('EXP-PM-YRS', 'TECH-HANDSON')",TECH-HANDSON,27
"('EXP-PM-YRS', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('EXP-PM-YRS', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('EXP-PM-YRS', 'equivalent experience')",equivalent experience,1
"('EXP-PM-YRS', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('EXP_ROLE', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('EXP_ROLE', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('EXP_ROLE', 'equivalent experience')",equivalent experience,1
"('EXP_ROLE', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('PM-PLAN', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('PM-PLAN', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('PM-PLAN', 'equivalent experience')",equivalent experience,1
"('PM-PLAN', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('QUAL-PREF', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('QUAL-PREF', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('QUAL-PREF', 'equivalent experience')",equivalent experience,1
"('QUAL-PREF', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('SS-LEADERSHIP', 'TECH-HANDSON')",TECH-HANDSON,29
"('SS-LEADERSHIP', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('SS-LEADERSHIP', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('SS-LEADERSHIP', 'equivalent experience')",equivalent experience,1
"('SS-LEADERSHIP', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('SS-STAKEHOLDER', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('SS-STAKEHOLDER', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('SS-STAKEHOLDER', 'equivalent experience')",equivalent experience,1
"('SS-STAKEHOLDER', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('TECH-CONCEPT', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('TECH-CONCEPT', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('TECH-CONCEPT', 'equivalent experience')",equivalent experience,1
"('TECH-CONCEPT', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('TECH-HANDSON', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('TECH-HANDSON', 'embody microsoft culture and values')",embody microsoft culture and values,2
"('TECH-HANDSON', 'equivalent experience')",equivalent experience,1
"('TECH-HANDSON', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('TECH-OPS', 'customer experience and success (digital engagement and support)')",customer experience and success (digital engagement and support),1
"('TECH-OPS', 'embody microsoft culture and values')",embody microsoft culture and values,1
"('TECH-OPS', 'equivalent experience')",equivalent experience,1
"('TECH-OPS', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('customer experience and success (digital engagement and support)', 'embody microsoft culture and values')",embody microsoft culture and values,1
"('customer experience and success (digital engagement and support)', 'equivalent experience')",equivalent experience,1
"('customer experience and success (digital engagement and support)', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('embody microsoft culture and values', 'equivalent experience')",equivalent experience,1
"('embody microsoft culture and values', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('equivalent experience', 'familiarity with digital engagement platforms')",familiarity with digital engagement platforms,1
"('CONTEXT-COMPLEX', 'CONTEXT-REG')",CONTEXT-REG,21
"('CONTEXT-COMPLEX', 'SS-CONFLICT')",SS-CONFLICT,19
"('CONTEXT-COMPLEX', 'application in life sciences')",application in life sciences,1
"('CONTEXT-COMPLEX', 'establish center of excellence')",establish center of excellence,1
"('CONTEXT-COMPLEX', 'passion for improving life sciences through technology')",passion for improving life sciences through technology,1
"('CONTEXT-ETHIC', 'CONTEXT-REG')",CONTEXT-REG,14
"('CONTEXT-ETHIC', 'PM-BUDGET')",PM-BUDGET,6
"('CONTEXT-ETHIC', 'SS-CONFLICT')",SS-CONFLICT,7
"('CONTEXT-ETHIC', 'application in life sciences')",application in life sciences,1
"('CONTEXT-ETHIC', 'establish center of excellence')",establish center of excellence,1
"('CONTEXT-ETHIC', 'passion for improving life sciences through technology')",passion for improving life sciences through technology,1
"('CONTEXT-REG', 'CORE-ADAPT')",CORE-ADAPT,17
"('CONTEXT-REG', 'CORE-BUSINESS')",CORE-BUSINESS,20
"('CONTEXT-REG', 'EDU-ADV')",EDU-ADV,9
"('CONTEXT-REG', 'EXP-AI-YRS')",EXP-AI-YRS,11
"('CONTEXT-REG', 'EXP-INDUSTRY')",EXP-INDUSTRY,19
"('CONTEXT-REG', 'EXP-PM-YRS')",EXP-PM-YRS,19
"('CONTEXT-REG', 'EXP_ROLE')",EXP_ROLE,21
"('CONTEXT-REG', 'PM-BUDGET')",PM-BUDGET,9
"('CONTEXT-REG', 'PM-PLAN')",PM-PLAN,21
"('CONTEXT-REG', 'PM-RISK')",PM-RISK,17
"('CONTEXT-REG', 'QUAL-PREF')",QUAL-PREF,13
"('CONTEXT-REG', 'SS-CONFLICT')",SS-CONFLICT,10
"('CONTEXT-REG', 'SS-LEADERSHIP')",SS-LEADERSHIP,21
"('CONTEXT-REG', 'SS-STAKEHOLDER')",SS-STAKEHOLDER,21
"('CONTEXT-REG', 'TECH-CONCEPT')",TECH-CONCEPT,21
"('CONTEXT-REG', 'TECH-HANDSON')",TECH-HANDSON,15
"('CONTEXT-REG', 'application in life sciences')",application in life sciences,1
"('CONTEXT-REG', 'establish center of excellence')",establish center of excellence,1
"('CONTEXT-REG', 'passion for improving life sciences through technology')",passion for improving life sciences through technology,1
"('CORE-ADAPT', 'SS-CONFLICT')",SS-CONFLICT,15
"('CORE-ADAPT', 'application in life sciences')",application in life sciences,1
"('CORE-ADAPT', 'establish center of excellence')",establish center of excellence,1
"('CORE-ADAPT', 'passion for improving life sciences through technology')",passion for improving life sciences through technology,1
"('CORE-BUSINESS', 'SS-CONFLICT')",SS-CONFLICT,20
"('CORE-BUSINESS', 'application in life sciences')",application in life sciences,1
"('CORE-BUSINESS', 'establish center of excellence')",establish center of excellence,1
"('CORE-BUSINESS', 'passion for improving life sciences through technology')",passion for improving life sciences through technology,1
"('EDU-ADV', 'EXP-AI-YRS')",EXP-AI-YRS,8
"('EDU-ADV', 'EXP-PM-YRS')",EXP-PM-YRS,12
"('EDU-ADV', 'PM-BUDGET')",PM-BUDGET,5
"('EDU-ADV', 'SS-CONFLICT')",SS-CONFLICT,8
