phrase,cluster
"serve as a strategic liaison between engineering, data science, product, and business stakeholders",2
expertise in note-taking platforms competitive landscape,2
digital production background,2
market onboarding,2
intelligent products,2
execute program plan (pilots with internal and external customers),2
working with vendors,2
drive market readiness,2
telecom domain expertise,2
lead governance and product analytics execution,2
translate technical progress into business impact,2
managing relationships with vendors and partners,2
relating to myriad technical partners,2
iaas/saas/paas services knowledge,2
ecommerce/retail software development,2
experience launching cloud services,2
supply chain alignment,2
partnering with product management and engineering organizations,2
global omnichannel retail and supply chain,2
"strategic oversight, technical architecture direction, and secure delivery planning",2
showcase products and services through a strategic lens,2
defining product roadmaps,2
familiarity with vendor feeds (preferred),2
familiarity with commercial real estate,2
translate the voice of the customer and telemetry into productized agent requirements,2
client strategy,2
familiarity with salesforce platforms,2
thrive in early-stage product environments,2
managing vendor cooperation,2
proven experience leading customer engagements,2
customer adoption and satisfaction,2
guide customers from day‑one sandbox through next‑best actions,2
ecommerce domain experience,2
interfacing with sponsors,2
partnering with platform and product business unit product management and engineering organizations,2
interact with third party gpu ic suppliers & partners,2
value delivery,2
business-oriented mindset,2
"work closely with marketing tech ops, paid media, and analytics",2
athletic apparel and footwear manufacturing/retail,2
commercial real estate investment and property management,2
enhance customer experience,2
ecommerce or retail experience,2
digital consulting,2
"own observability, billing, metering, and reporting for each product",2
understanding product roadmaps,2
5 years leading digital transformation initiatives,2
"partner with engineering managers, data scientists, and product leaders",2
sms marketing,2
prior exposure to pre-sales (nice to have),2
lead migration from legacy assets,2
co‑drive pilots with early adopter customers,2
apply knowledge to improve servicenow’s implementation & adoption offerings,2
product mvps,2
enterprise crm systems familiarity,2
update plans to meet evolving business needs,2
digital production,2
deep understanding of financial sales cycles,2
launching cloud services,2
unlock opportunities for additional revenue,2
business acumen (assessing technical feasibility of use cases),2
digital marketing and creative production,2
customer experience and success (digital engagement and support),2
digital consulting and enterprise transformation,2
customer success processes understanding,2
unlock revenue generating and efficiency opportunities,2
experience operating customer-facing cloud services,2
drive the delivery of innovative digital customer engagement experiences,2
shape the technical and product direction,2
experience in ecodesign (preferred),2
"scaling adoption across researchers, engineers, external partners",2
vendor management experience,2
business requirements gathering,2
general industry knowledge,2
fintech/lending/financial services,2
customer success (nice to have),2
translate marketing briefs into structured workflows,2
marketing collaboration,2
working in the mortgage industry (preferred),2
lead the delivery of enterprise-wide data products,2
digital asset delivery requirements,2
measurable business value delivery,2
contributing to business growth,2
targeted paid advertising,2
"design and validate product‑specific agents (itsm, csm, hrsd)",2
lead execution of digital creative initiatives,2
product operations background,2
enterprise adoption acceleration,2
define product roadmaps,2
banking/financial services,2
"agri-products, leaf tobacco, plant-based ingredients, food and beverage, global supply chain",2
demonstrate company’s core competencies and values,2
experience with cloud platforms (azure),2
strong vendor management experience,2
private wealth management,2
value to the business,2
sense of drive to deliver impeccable product experiences,2
translate business needs into technical solutions,2
delivering meaningful business impact,2
business outcomes,2
broad industry knowledge,2
quantitative trading and financial services,2
"familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)",2
experience launching products,2
apply knowledge to continuously improve offerings,2
manage consulting relationships,2
enterprise transformation,2
email marketing,2
provides highly innovative solutions,2
customer experience improvement,2
driven to stay current on technology trends,2
support omnichannel retail operations,2
integration into production,2
work closely with learning & development and marketing on firm outreach,2
deliver measurable business value,2
own delivery of data products and ssot platforms,2
customer service domain,2
customer supportability best practices,2
business judgment,2
client satisfaction,2
enterprise scale initiatives,2
last mile business,2
provide new internal capabilities,2
comfortable presenting to customers,2
analytics partner strategy,2
salesforce familiarity (crm),2
product-minded program management,2
"impact customer experience, design, architecture, and implementation",2
upholding apple’s expectations,2
asset creation processes,2
transforming world’s largest enterprises,2
"work with external partners (gsi, llm)",2
strong business judgment,2
measurable business impact,2
identify opportunities for process optimization and delivery excellence,2
basic concepts of billing and metering,2
2+ years experience with customer success processes (preferred),2
productizing agent requirements,2
marketing technology,2
establish and maintain strategic vendor relationships for genai training and tools,2
full life cycle of product development,2
sales software,2
"construction and specialty markets (advanced technology, life sciences, healthcare)",2
enterprise scale implementation,2
costing,2
align with broader platform and devices strategies,2
managing multi-market platforms,2
"experience with defining product visions, roadmaps, and product mvps",2
deep understanding of banking sales cycles,2
familiarity with enterprise applications (preferred),2
digital marketing,2
product lifecycle management (nice to have),2
vendor/contract oversight,2
wealth management technology trends,2
supply chain process improvement,2
coordinate with customer delivery and field teams to ensure readiness and adoption,2
consumer electronics and software platforms,2
drive business impact,2
retail domain experience,2
supply chain analytics and management,2
support internal enablement and external adoption,2
balancing customer and business needs,2
business acceleration,2
business analysis,2
experience in saas environment,2
billing and metering,2
mortgage insurance / financial services,2
provider satisfaction improvement,2
strategic vendor relationship management,2
experience leading saas/cloud based projects,2
represent organization at financial industry events,2
gather business requirements,2
financial alignment of technology expenditures,2
create competitive advantages,2
customer focus,2
evangelist for digital capabilities,2
business acumen,2
vendor management,2
creative resourcing management,2
defining product visions and roadmaps,2
identify most impactful opportunities for assist and agent use cases,2
Logistics/Supply Chain (Last Mile Delivery),2
create technical solutions for multiple ai challenges,3
ai-enhanced data capabilities,3
drive ai adoption and integration,3
"drive the design, execution, and optimization of autonomous ai-driven programs and solutions",3
ai governance frameworks implementation,3
knowledge of ai concepts,3
ai/ml regulatory domain experience,3
design ai upskilling programs,3
generative ai capabilities,3
enterprise ai roadmap and strategy alignment,3
lead end-to-end execution of ai programs,3
oversee the full lifecycle of ai projects,3
significant exposure to ai/ml,3
shaping security and risk strategy for ai products,3
"ensure scalable, high-performing ai solutions",3
experience working on ai model software development,3
expert understanding of computational requirements for ai research,3
strong technical fluency in generative ai,3
prototype and implement state of the art ai solutions,3
explain ai capabilities,3
integrating ai technologies into academic programs,3
ai platform adoption,3
experience in the machine learning and artificial intelligence project life-cycle,3
ai innovation,3
ai programs,3
understanding of agentic ai capabilities,3
ai tools & technologies mastery,3
operationalizing automation & ai tools,3
complex ai issues,3
provide dedicated tpm leadership for international ai-driven data initiatives,3
translate strategic ai/ml and data platform goals into executable plans,3
serve as the technical orchestrator for ai infrastructure,3
familiarity with the ai/machine learning lifecycle,3
full lifecycle management of ai initiatives,3
convert ai/ml strategies into actionable program roadmaps,3
agi (artificial general intelligence),3
translate ai strategy into executable delivery plans,3
serve as central point of coordination for ai delivery efforts,3
enterprise ai,3
ai-specific security challenges,3
knowledge of potential business applications (ai),3
"support phased ai/ml deployments, localization, and compliance readiness",3
change‑management capabilities for ai adoption,3
"recommending optimal, ai-driven solutions",3
generative ai programs,3
integrating artificial intelligence technologies,3
promote the use of ai-assisted tools and automations,3
manage ai vendor relationships,3
liaising with the ai committee,3
work closely with tech ai leadership,3
experience in ai environment,3
delivery of ai/ml projects,3
ai/ml adoption roadmaps,3
ai product development and deployment,3
scaling of automation & ai creative tools,3
"strategic, multi-disciplinary ai programs",3
plan and manage ai-focused projects,3
agents,3
"embedding governance, analytics, and ai/ml enablement",3
ai observability,3
define product vision and strategy for ai-driven products,3
ai use cases experience,3
"lead the strategic planning, execution, and delivery of ai initiatives",3
implement agentic automation frameworks,3
"ai-assisted tools (moveworks, chatgpt, copilot)",3
improving ai-driven autonomous behavior and system performance,3
concise explanations of complex ai concepts,3
act as ai point of contact,3
support planning and prioritization of ai/ml workstreams,3
implement strategic ai programs,3
defining and delivering complex ai features,3
gen ai experience,3
autonomous agent frameworks familiarity (nice to have),3
promote ai adoption,3
act as an ai generalist,3
familiarity with ai/ml systems and components,3
experience leading the development and deployment of ai agentic automation solutions,3
hands-on experience with ai agent frameworks,3
decision intelligence experience,3
work with third-party vendors to implement ai tools,3
artificial intelligence (ai) programs,3
experience supporting ai or automation initiatives (nice to have),3
ensure transparent communication of ai solutions,3
act as an ai evangelist,3
drive rollout of ai-enabled ssot data products,3
3+ years leading ai/ml initiatives,3
evaluate external ai vendors,3
complex ai concepts communication,3
deep understanding of ai model behavior,3
agentic ai/llm/genai fundamentals,3
automation,3
bring new ai-powered offerings to market,3
advocate for ai use,3
operationalize ai/ml models into production,3
ai integration into clinical workflows,3
develop enterprise ai strategy,3
autonomous system kpis,3
coordinate development of ai-enhanced online degrees,3
technical integration of gen ai features into internal workflows,3
solid knowledge of ai and automation technologies,3
ai-specific security challenges familiarity,3
stay current with emerging ai technologies and best practices,3
"at least 2 years focused on ai, machine learning, data-driven or system implementation initiatives",3
champion responsible ai,3
3+ years working with ai technologies,3
advanced certification in ai-related disciplines,3
ethical ai practices,3
coordinate ai champions,3
gen ai,3
ai-powered integrations,3
strong overall experience in the ai/ml regulatory domain,3
provide training and support for powerbi and new ai tools,3
hands-on experience in ai/ml or autonomous vehicle (av) projects,3
tpm/program experience with the servicenow platform/ai/automation (preferred),3
enterprise-scale ai solutions,3
asi (artificial superintelligence),3
passionate about responsible use ai,3
exposure to ai in creative workflows,3
ai/ml development workflows security,3
"interact with project sponsors, ai scientists, and development teams",3
ensure viability of ai driven products and data,3
oversee deployment and management of ai applications,3
ai concepts,3
champion an agentic automation and data-driven approach,3
deliver a transformational ai-first implementation and adoption experience,3
stay plugged into developments in ai orchestration,3
stay current with ai industry trends,3
"partner with ai/ml scientists, data engineers, analysts, and business stakeholders",3
develop programs that advance ai knowledge across the enterprise,3
generative ai technologies,3
ai concepts mastery,3
staying at the forefront of ai advancements,3
maintain strategic ai programs,3
facilitating communication of complex ai concepts,3
oversee multiple ai projects,3
ensure seamless integration of ai solutions,3
execute enterprise ai strategy,3
ai/ml libraries or frameworks,3
organize the enterprise ai safety board,3
understanding of ai capabilities and limitations,3
"develop an ai-first, autonomous implementations roadmap",3
manage multi-year roadmap for agentic ai capabilities,3
ability to quickly learn new software or ai platforms,3
ai literacy (nice to have),3
deployment of ai agentic automation solutions,3
ai solutions implementation,3
transformation of a major workflow using ai,3
azure ai services,3
2+ years ai programmatic metrics and measurement,3
optimizing ai use case intake process,3
integrating open-source ai frameworks,3
building and releasing new ai products and features,3
translate ai capabilities into business value,3
agent-based systems,3
lead charge in leveraging impactful generative ai capabilities,3
oversee technical integration of gen ai features,3
ai platform governance,3
stay current with ai tools,3
ai chatbots,3
stay up-to-date with industry trends in genai and agentic ai,3
certified ai practitioner (preferred),3
deliver transformational ai‑first implementation and adoption experience,3
promote ai fluency,3
2+ years experience in ai programmatic metrics and measurement,3
5+ years focused on ai or machine learning solutions,3
ai infrastructure,3
"ensure alignment, clarity, and shared ownership of tech ai projects",3
predictive ai programs,3
stay up-to-date with ai industry trends and emerging technologies,3
lead execution and delivery of ai/ml projects,3
responsible ai practices,3
lead platform evaluation and implementation for ai vendor tools,3
ai knowledge,3
understanding of autonomous behavior,3
providing ai project training integration,3
"ai governance (risk, compliance, sdlc guardrails)",3
eu ai act knowledge,3
analyze use-cases that align with the ai,3
develop ai strategy,3
partner with data science teams to operationalize ai/ml models,3
ai certifications (preferred),3
passion for ai/ml,3
driving projects using cutting-edge generative ai technologies,3
deployment of ai solutions,3
proven experience shipping gen ai-powered features at scale from pilot to production,3
exposure to ai/ml frameworks,3
lead strategic planning and execution of ai initiatives,3
ai generalist's understanding of ai,3
enterprise workflow automation (ai agents),3
ai/ml paradigms,3
focus on ai-specific security risks,3
ai scenarios,3
stay current with emerging ai technologies,3
driving the adoption of ai technologies,3
cloud infrastructure for artificial intelligence,3
generative ai,3
solid understanding of ai/ml concepts,3
chair the corporate ai advisory committee,3
managing complex ai/ml programs,3
oversee planning and execution of foundational ai infrastructure,3
working with ai scientists,3
ai red-teaming familiarity,3
ai solutions,3
ai governance expertise,3
supervise and mentor a small team of ai engineers,3
strategic ai programs,3
familiar with ai/ml systems and components,3
lead delivery of strategic ai initiatives,3
ai course certificates,3
define and track success metrics for agentic automation initiatives,3
lead migration from legacy assets to ai-enabled ssot platforms,3
acceleration of ai/ml & multi-agent frameworks,3
"experience with aws ai services (sagemaker, bedrock)",3
debugging complex ai issues,3
ai core concepts,3
knowledge of california ai transparency act,3
foundational ai infrastructure,3
managing multiple concurrent ai initiatives,3
1+ year bridging strategy and execution for ai solutions (preferred),3
lead the creation of ai agents for internal use,3
operationalize the ai program vision,3
ability to synthesize ai/ml regulations into strategies for product delivery roadmaps,3
lead multiple ai projects as a coordinated program,3
familiarity with cloud-based ai platforms,3
"experience in projects involving ai capabilities, large language models (llms), or agentic systems",3
ensure clear communication of ai solutions,3
drive the ai platform program,3
drive organization-wide adoption of generative ai technologies,3
passion for staying current with latest developments in ai technologies,3
5 years leading ai initiatives in healthcare,3
ensure infrastructure readiness for ai-first data pipelines and ml workloads,3
ai certification (leading employee training program for),3
bridging ai technologies with business strategy,3
oversee ai initiatives,3
seamless integration of ai solutions,3
integration of ai/ml models,3
"managing large, complex ai projects",3
"ensure ai solutions are validated for accuracy, quality, compliance",3
understanding of ai domains,3
understanding of ai/ml concepts,3
orchestrate and improve organization's ai capabilities,3
driving ai use at scale,3
drive oracle’s ai cloud platform solution space,3
partner with engineering and ai platform teams to resolve technical blockers,3
2+ years of hands-on experience with ai technologies,3
knowledge of us ai executive orders,3
represent agentic ai systems internally and externally,3
identifying opportunities to implement ai solutions,3
partner with ai architects and product teams on solution design,3
lifecycle management of ai/ml models,3
"lead ai initiatives in planning, procurement, manufacturing, and global logistics",3
understanding of ai performance,3
2-3 years of ai related experience,3
expert knowledge of ai applications in clinical settings,3
ensure effective communication of ai solutions,3
manage the lifecycle of ai projects,3
delivering ai projects,3
3+ years leading ai/ml or genai initiatives at enterprise scale,3
translate business objectives into ai implementation strategies,3
mitigating ai-specific risks (access/misuse/data leakage),3
experienced in deploying autonomous agents,3
pencil ai,3
robust experience managing ai vendor platform evaluation,3
driving business roi of ai initiatives,3
security of ai systems and data,3
"experience in ai/ml, autonomous vehicles, robotics, or aerospace domains",3
knowledge of nist ai rmf,3
design strategic ai programs,3
responsible ai principles,3
orchestration (ai),3
stay plugged into developments in intelligent automation,3
seamless ai integration,3
identify and implement ai solutions,3
ai cloud platform solution space,3
translate business challenges into actionable ai,3
experience with foundational ai models and tuning techniques,3
multi-disciplinary ai programs,3
ai capabilities,3
deployment and management of ai applications,3
intake and assess ai support requests,3
ai research and infrastructure,3
"deliver autonomous, ai-driven hr technology solutions aligned with people@ goals",3
driving the execution of ai initiatives,3
establish ai governance,3
ai trust and safety considerations,3
experience with ai-driven projects in data analytics,3
align ai solutions with organizational goals,3
kpi/okr tracking for ai programs,3
support change management and ai solution adoption,3
boundary-pushing ai workloads,3
"3+ years supporting ai, data science, or machine learning projects",3
experience in machine learning or artificial intelligence,3
lead end-to-end implementation of ai-enhanced online programs,3
ai/automation drives efficiency and value creation,3
enhance ai literacy,3
coordinate and manage cross-functional ai projects,3
proactively identify opportunities for agentic automation and efficiency,3
orchestrate development and implementation of ai-powered solutions,3
understanding of ai/ml technologies,3
managing complex ai initiatives,3
responsible ai implementation,3
ai-first design principles,3
understanding of ai accelerators,3
understanding of generative ai patterns,3
responsible ai usage guidelines,3
defining and implementing security strategies (ai models/workflows/datasets),3
managing cutting-edge ai initiatives,3
agentic systems,3
maintain current knowledge of ai and technology trends,3
large-scale ai initiatives,3
intelligent automation,3
translate abstract business challenges into concrete ai solutions,3
ai/ml strategies,3
using ai tools,3
international ai/ml standards and regulations,3
"stay current with emerging ai technologies, tools, and best practices",3
intelligent systems (nice to have),3
knowledge of ai concepts and their potential business applications (preferred),3
"define ai product vision, strategy, and roadmap",3
assess regulatory implications for ai models,3
understanding of agentic ai patterns,3
lead the ai drive in the organization,3
scalable ai solutions,3
advance responsible data and ai practices across the enterprise,3
ai initiatives oversight,3
contribute to integration and scaling of ai tools,3
ai-specific threat modeling background,3
programmatic and architectural leadership for agentic ai capabilities,3
stay up-to-date with ai industry trends,3
working familiarity with ai/ml frameworks,3
define ai use cases,3
shipping gen ai-powered features at scale from pilot to production,3
"design, productize, and pilot agentic ai‑first setup and implementation experiences",3
bridging strategy and execution for ai solutions,3
drive agentic ai acceleration program,3
ai-first implementation experience,3
manage internal ai platform initiatives,3
artificial intelligence and robotics,3
commitment to ethical ai,3
ai agentic automation,3
understanding of ai reliability,3
manage and lead ai solutions projects,3
solving complex ai problems,3
understanding of ai concepts,3
lead and manage multiple concurrent ai agentic automation portfolios and programs,3
manage end-to-end delivery of ai projects,3
strong understanding of ai/ml domains,3
ai paradigms,3
"designs, implements, and maintains strategic ai programs",3
document ai solutions and reporting tools,3
support development of an internal ai website,3
lead effective and efficient delivery of ai projects,3
releasing new ai products and features,3
passionate about ai,3
deliver ai-focused projects,3
ai-focused projects,3
ai safety expertise,3
global ai projects,3
coordinate the ai steward network,3
own enterprise ai/ml strategy,3
leading ai projects with external vendors,3
tracking ai/ml standards/regulations and their impact to apple’s business,3
artificial intelligence,3
"lead the execution of complex, multi-quarter technical roadmaps for ai/ml features",3
successful delivery of ai-powered products and services,3
2+ years of hands-on experience with chatbot implementation,3
transformational ai‑first implementation,3
3+ years generative ai experience,3
accelerate adoption of autonomous solutions,3
explore the potential of ai,3
experience in ai/data science/technology projects,3
proven ability to operationalize ai governance,3
define and enforce ai/ml security protocols,3
large-scale autonomous ai initiatives,3
stay up-to-date with emerging technologies (genai and agents),3
understanding of ai frameworks,3
7+ years of experience managing complex ai/ml or software programs,3
epic cadence certification,4
documentation and reporting competency,4
product safety standards,4
"governance (unified, trusted data products)",4
"coordinate security assessments, accreditation reviews, and governance checkpoints",4
security controls,4
pgmp certification (preferred),4
"adherence to international regulations (gdpr, ccpa, lgpd)",4
pmp certification (preferred),4
hipaa compliance,4
epic clinical application certification,4
federal contracting and defense,4
financial regulatory and compliance frameworks familiarity (preferred),4
ccpa knowledge,4
maintaining ethical standards,4
resource securing,4
upholding user trust and confidence,4
adherence to standards of excellence,4
safe program consultant certification,4
ensure compliance with data governance,4
user-acceptance testing (uat),4
review and approve design decisions for compliance,4
regulatory compliance,4
public trust clearance eligibility,4
privacy and security awareness,4
pay transparency regulations,4
"maintaining operating governance, compliance and executive alignment",4
ensure transparency,4
implement and maintain security controls,4
financial regulatory compliance,4
secure systems,4
secret clearance,4
regularity compliance,4
evolving financial regulations knowledge,4
csm certification (preferred),4
quality assurance,4
developing plans to ensure compliance to required standards and regulations,4
cost transparency,4
compliance alignment,4
manage compliance risk,4
"ensure delivery teams implement security controls, audit logging, and documentation practices",4
