construct,category,sub_category_code,definition,dictionaries,AI tech_era
Core Competencies,Leadership and Soft Skills,SS-LEADERSHIP,"Capabilities regarding team leadership, mentorship, motivation, and cross-functional collaboration","""lead cross-functional teams"", ""leadership"", ""mentoring"", ""cross-functional collaboration"", ""team collaboration"", ""collaborative leadership"", ""emotional intelligence (EQ)"", ""influencing without authority"", ""servant leadership"", ""building trust"", ""team culture"", ""motivation"", ""team building"", ""team morale"", ""engagement with engineering teams"", ""engagement with technical teams""",
Core Competencies,Leadership and Soft Skills,SS-CONFLICT,"Proficiency in conflict resolution, negotiation, and navigating ambiguity","""conflict resolution"", ""negotiation"", ""problem-solving"", ""problem-solving abilities"", ""resolving blockers"", ""active listening"", ""mediation"", ""constructive feedback"", ""navigating ambiguity"", ""competing priorities"", ""trade-offs"", ""risk vs. speed"", ""decision making under uncertainty""",
Core Competencies,Domain and Business,CORE-BUSINESS,"Demonstration of business acumen, strategic thinking, product strategy, and commercial awareness","""business acumen"", ""strategic thinking"", ""product strategy"", ""market analysis"", ""business value"", ""return on investment (ROI)"", ""key performance indicators, ""kpis"", ""use case identification"", ""product roadmap"", ""go-to-market strategy"", ""commercialization"", ""competitive analysis"", ""value proposition"", ""business case development"", ""digital transformation goals"", ""user-centric solutions""",
Core Competencies,Adaptability,CORE-ADAPT,"Capacity to adapt and thrive within fast-paced, ambiguous, or rapidly evolving environments","""adaptability"", ""continuous learning"", ""fast-paced environment"", ""staying current"", ""growth mindset"", ""proactive mindset"", ""intellectual curiosity"", ""lifelong learning"", ""rapid iteration"", ""flexible"", ""continuous improvement culture"", ""fostering innovation"", ""driving innovation""",
Core Competencies,Change Management,CORE-ADOPTION,"Driving organizational change, user adoption, and upskilling regarding AI literacy and tools","""change management"", ""learning paths"", ""AI literacy"", ""enablement"", ""AI champions"", ""upskilling"", ""user adoption"", ""digital accessibility"", ""adopt best practices"", ""emerging technologies passion""",
Technical Competencies,Conceptual AI Knowledge,TECH-CONCEPT,"Foundational theoretical knowledge of machine learning, data science concepts","""machine learning"", ""supervised learning"", ""deep learning"", ""neural networks"", ""predictive modeling"", ""regression"", ""clustering"", ""NLP"", ""natural language processing"", ""computer vision""","Traditional AI (Predictive & Foundational): Competencies related to the ""Engine Room"" of data science, supervised learning, and standard infrastructure"
Technical Competencies,Hands-on Technical Skills,TECH-HANDSON,"Practical programming skills and proficiency with standard data science and engineering tools (e.g., Python, SQL, Amazon Web Services AWS)","""Python"", ""SQL"", ""TensorFlow"", ""PyTorch"", ""Amazon Web Services AWS"", ""Azure"", ""GCP"", ""Scikit-learn"", ""Pandas"", ""Keras"", ""Java"", ""C++""","Traditional AI (Predictive & Foundational): Competencies related to the ""Engine Room"" of data science, supervised learning, and standard infrastructure"
Technical Competencies,Technical Operation,TECH-OPS,"Knowledge of operational infrastructure, deployment pipelines, and CI/CD practices for ML models (MLOps)","""MLOps"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""model deployment"", ""pipeline management"", ""model registry"", ""containerization"", ""cluster"", ""latency"", ""throughput""","Traditional AI (Predictive & Foundational): Competencies related to the ""Engine Room"" of data science, supervised learning, and standard infrastructure"
Technical Competencies,Data Operation,DATA-OPS,"Management of the data lifecycle, including annotation, ground truth creation, lineage, and data governance","""Annotation"", ""Labeling"", ""Ground Truth"", ""Human-in-the-loop"", ""HITL"", ""datasets"", ""Ontology"", ""CVAT"", ""Labelbox"", ""data lineage"", ""data governance"", ""data quality"", ""annotation guidelines""","Traditional AI (Predictive & Foundational): Competencies related to the ""Engine Room"" of data science, supervised learning, and standard infrastructure"
Technical Competencies, Generative AI,TECH-GENAI-CONCEPT,"Understanding of architectures, theories, and concepts specific to Generative AI and Large Language Models (LLMs)","""Generative AI"", ""GenAI"", ""foundational models"", ""transformer architecture"", ""diffusion models"", ""chain of thought"", ""LLMs"", ""Large Language Models"", ""Reinforcement Learning from Human Feedback"", ""RLHF"", ""transformer models""","New Wave AI (Generative & Agentic): Competencies related to the ""Orchestration"" of autonomous systems, LLMs, and AI economics"
Technical Competencies, Generative AI,TECH-GENAI-HANDSON,"Proficiency with tools, vector databases, and frameworks specific to the Generative AI technology stack","""RAG"", ""Retrieval Augmented Generation"", ""Fine-tuning"", ""Prompt Engineering"", ""Hugging Face"", ""LlamaIndex"", ""LangChain"", ""Pinecone"", ""Weaviate"", ""OpenAI API"", ""Anthropic"", ""Azure OpenAI"", ""Vector database"", ""Mistral"", ""Llama"", ""Claude"", ""Gemini"", ""Bedrock"", ""Vertex AI"", ""SageMaker JumpStart""","New Wave AI (Generative & Agentic): Competencies related to the ""Orchestration"" of autonomous systems, LLMs, and AI economics"
Technical Competencies, Agentic AI,TECH-AGENTS,Knowledge of autonomous AI systems and frameworks designed for managing and executing agentic workflows,"""Agentic AI"", ""Multi-agent systems"", ""Agent frameworks"", ""Autonomous agents"", ""Agent Orchestration"", ""Multi-agent orchestration"", ""Model orchestration"", ""CrewAI"", ""reasoning loops"", ""Agentic tool use"", ""function calling capabilities"", ""LangGraph"", ""Semantic Kernel"", ""Agentic workflows""","New Wave AI (Generative & Agentic): Competencies related to the ""Orchestration"" of autonomous systems, LLMs, and AI economics"
Technical Competencies,AI Evaluation,TECH-EVAL,"Methodologies for assessing the quality, safety, and performance of AI outputs (e.g., Red Teaming, Benchmarks)","""Model evaluation"", ""Red teaming"", ""Hallucination detection"", ""Benchmarks"", ""Safety alignment"", ""Evals"", ""Jailbreaking"", ""Human evaluation"", ""A/B testing AI""","New Wave AI (Generative & Agentic): Competencies related to the ""Orchestration"" of autonomous systems, LLMs, and AI economics"
Technical Competencies,Financial Operations (FinOps),TECH-FINOPS,Financial management and optimization of AI compute resources and consumption models (FinOps),"""token usage"", ""inference cost"", ""GPU utilization"", ""cost per token"", ""FinOps"", ""context window"", ""token economics"", ""compute optimization"", ""token consumption""","New Wave AI (Generative & Agentic): Competencies related to the ""Orchestration"" of autonomous systems, LLMs, and AI economics"
Technical Competencies,Enterprise Platforms,TECH-ENTERPRISE,"Experience integrating, configuring, or utilizing enterprise-grade AI assistants and Copilot ecosystems","""Copilot"", ""Salesforce Agentforce"", ""ServiceNow AI"", ""Workday AI"", ""Dynamics 365 Copilot"", ""Einstein GPT"", ""SAP Joule"", ""systems integration projects""","New Wave AI (Generative & Agentic): Competencies related to the ""Orchestration"" of autonomous systems, LLMs, and AI economics"
Technical Competencies,Advanced AI,TECH-AI-ADV,"Refers to hypothetical or future AI systems that possess human-level (General) or super-human (Super) cognitive abilities across a broad range of tasks, distinct from current narrow AI","""AGI"", ""Artificial General Intelligence"", ""ASI"", ""Artificial Superintelligence"", ""transformative ai"", ""Theory of Mind AI"", ""Self-Aware AI"", ""Strong AI"", ""Singularity""",A future concept of AI (theoretical or advanced AI)
Educational Attainment,Academic Qualification,EDU-LEVEL-ADV,"Specification of required or preferred advanced academic degree levels (e.g.,  Master's, PhD)","""Master's"","" M.S."", ""MSc"", ""MBA"", ""PhD"", ""Doctorate""",
Educational Attainment,Academic Qualification,EDU-FIELD-TECH,"Requirement for academic degrees in general technical, quantitative, or STEM disciplines"," ""Computer Science"", ""Engineering"", ""STEM degree"", ""Information Systems"", ""Mathematics"", ""Statistics""",
Educational Attainment,Academic Qualification,EDU-FIELD-AI,"Requirement for specialized academic degrees specifically in AI, Data Science, or Cognitive Science","""Master's in AI"", ""PhD in Machine Learning"", ""Data Science degree"", ""Computational Linguistics"", ""Cognitive Science"", ""Robotics"", ""Applied Artificial Intelligence""",
Educational Attainment,Academic Qualification,EDU-FIELD-BIZ,Requirement for academic degrees in Business Administration or Management,"""Business Administration"", ""Business and Management""",
Educational Attainment,Professional Certification,CERT-FIELD-PM,"Possession of formal certifications in Project Management or Agile methodologies (e.g., PMP, CSM)","""PMP"", ""Project Management Professional"", ""CSM"", ""Certified ScrumMaster"", ""SAFe"", ""PMI-ACP"", ""PSM (Professional Scrum Master)"", ""SAFe Agilist"", ""additional formal training in pm""",
Educational Attainment,Professional Certification,CERT-FIELD-TECH,"Possession of technical certifications related to Cloud platforms, AI, or Data Engineering","""AWS Certified"", ""Azure AI Engineer"", ""TensorFlow Developer Certificate"", ""Google Cloud AI"", ""Microsoft Certified: Azure Data Scientist Associate""",
Project Context,Governance and Compliance,CONT-GOV-SAFETY,"Focus on AI ethics, societal impact, fairness, explainability, and human-centric design","""Responsible AI"", ""AI ethics"", ""Algorithmic bias"", ""Fairness audit"", ""Explainability"", ""XAI"", ""Transparency"", ""Accountability"", ""Trustworthy AI"", ""Bias mitigation""",
Project Context,Governance and Compliance,CONT-GOV-COM,"Adherence to legal frameworks, regulatory compliance, data privacy governance (e.g., GDPR), intellectual property rights, copyright, data sovereignty, and open source compliance","""GDPR"", ""CCPA"", ""AI Act"", ""regulatory compliance"", ""data privacy regulations"", ""ISO 27001"", ""intellectual property"", ""IP rights"", ""copyright"", ""trade secret"", ""data sovereignty"", ""data residency"", ""model provenance"", ""licensing"", ""open source compliance"", ""wcag 2.2 aa""",
Project Context,Cybersecurity ,CONT-SECURITY,"Focus on cybersecurity, system hardening, and defense against AI-specific vulnerabilities","""SOC2"", ""NIST CSF"", ""FedRAMP"", ""ATO"", ""authority to operate"", ""zero trust"", ""red teaming (security)"", ""penetration testing"", ""AppSec"", ""TS/SCI"", ""prompt injection"", ""data exfiltration"", ""security Clearance"", ""ISO standards""",
Project Context,Complexity,CONT-COMPLEX,"Experience managing complex, ambiguous, innovative, or R&D-heavy projects","""complex projects"", ""complex topics"", ""cutting-edge technology"", ""uncertainty"", ""experimentation"", ""R&D environment"", ""probabilistic"", ""complex data"", ""managing uncertainty"", ""R&D management"", ""fostering experimentation""",
Project Context,Scale AI,CONT-SCALE,"Context involving large-scale organizational environments, global reach, or enterprise-wide implementation","""program orchestration"",  ""program-level work views"", ""matrix management"", ""organizational architecture"", ""global scale"", ""multi-region"", ""enterprise-wide"", ""millions of users"", ""scalable solutions""",
